RegionName,date,zhvi,rent_index,inventory,median_list_price,sales_count
"Aberdeen, SD",2000-01-31,,,,,
"Aberdeen, SD",2000-02-29,,,,,
"Aberdeen, SD",2000-03-31,,,,,
"Aberdeen, SD",2000-04-30,,,,,
"Aberdeen, SD",2000-05-31,,,,,
"Aberdeen, SD",2000-06-30,,,,,
"Aberdeen, SD",2000-07-31,,,,,
"Aberdeen, SD",2000-08-31,,,,,
"Aberdeen, SD",2000-09-30,,,,,
"Aberdeen, SD",2000-10-31,,,,,
"Aberdeen, SD",2000-11-30,,,,,
"Aberdeen, SD",2000-12-31,,,,,
"Aberdeen, SD",2001-01-31,,,,,
"Aberdeen, SD",2001-02-28,,,,,
"Aberdeen, SD",2001-03-31,,,,,
"Aberdeen, SD",2001-04-30,,,,,
"Aberdeen, SD",2001-05-31,,,,,
"Aberdeen, SD",2001-06-30,,,,,
"Aberdeen, SD",2001-07-31,,,,,
"Aberdeen, SD",2001-08-31,,,,,
"Aberdeen, SD",2001-09-30,,,,,
"Aberdeen, SD",2001-10-31,,,,,
"Aberdeen, SD",2001-11-30,,,,,
"Aberdeen, SD",2001-12-31,,,,,
"Aberdeen, SD",2002-01-31,,,,,
"Aberdeen, SD",2002-02-28,,,,,
"Aberdeen, SD",2002-03-31,,,,,
"Aberdeen, SD",2002-04-30,,,,,
"Aberdeen, SD",2002-05-31,,,,,
"Aberdeen, SD",2002-06-30,,,,,
"Aberdeen, SD",2002-07-31,,,,,
"Aberdeen, SD",2002-08-31,,,,,
"Aberdeen, SD",2002-09-30,,,,,
"Aberdeen, SD",2002-10-31,,,,,
"Aberdeen, SD",2002-11-30,,,,,
"Aberdeen, SD",2002-12-31,,,,,
"Aberdeen, SD",2003-01-31,,,,,
"Aberdeen, SD",2003-02-28,,,,,
"Aberdeen, SD",2003-03-31,,,,,
"Aberdeen, SD",2003-04-30,,,,,
"Aberdeen, SD",2003-05-31,,,,,
"Aberdeen, SD",2003-06-30,,,,,
"Aberdeen, SD",2003-07-31,,,,,
"Aberdeen, SD",2003-08-31,,,,,
"Aberdeen, SD",2003-09-30,,,,,
"Aberdeen, SD",2003-10-31,,,,,
"Aberdeen, SD",2003-11-30,,,,,
"Aberdeen, SD",2003-12-31,,,,,
"Aberdeen, SD",2004-01-31,,,,,
"Aberdeen, SD",2004-02-29,,,,,
"Aberdeen, SD",2004-03-31,,,,,
"Aberdeen, SD",2004-04-30,,,,,
"Aberdeen, SD",2004-05-31,,,,,
"Aberdeen, SD",2004-06-30,,,,,
"Aberdeen, SD",2004-07-31,,,,,
"Aberdeen, SD",2004-08-31,,,,,
"Aberdeen, SD",2004-09-30,,,,,
"Aberdeen, SD",2004-10-31,,,,,
"Aberdeen, SD",2004-11-30,,,,,
"Aberdeen, SD",2004-12-31,,,,,
"Aberdeen, SD",2005-01-31,,,,,
"Aberdeen, SD",2005-02-28,,,,,
"Aberdeen, SD",2005-03-31,,,,,
"Aberdeen, SD",2005-04-30,,,,,
"Aberdeen, SD",2005-05-31,,,,,
"Aberdeen, SD",2005-06-30,,,,,
"Aberdeen, SD",2005-07-31,,,,,
"Aberdeen, SD",2005-08-31,,,,,
"Aberdeen, SD",2005-09-30,,,,,
"Aberdeen, SD",2005-10-31,,,,,
